time,64.68,65.66,66.64,67.62,68.6,69.58,70.56,71.54,72.52,73.5,74.48,75.46,76.44,77.42,78.4,79.38,80.36,81.34,82.32,83.3,84.28,85.26,86.24,87.22,88.2,89.18,90.16,91.14,92.12,93.1,94.08,95.06,96.04,97.02,98,98.98,99.96,100.94,101.92,102.9,103.88,104.86,105.84,106.82,107.8,108.78,109.76,110.74,111.72,112.7,113.68,114.66,115.64,116.62
0,-56.112581,-49.87785,-43.643119,-43.643119,-40.525753,-48.319167,-51.436533,-51.436533,-49.87785,-51.436533,-48.319167,-46.760485,-40.525753,-38.96707,-43.643119,-43.643119,-40.525753,-40.525753,-40.525753,-35.849705,-32.732339,-29.614974,-24.938925,-21.821559,-38.96707,-26.497608,-24.938925,-31.173656,-28.056291,-24.938925,-18.704194,-23.380242,-23.380242,-23.380242,-26.497608,-28.056291,-21.821559,-14.028145,-14.028145,-18.704194,-21.821559,-15.586828,-14.028145,-15.586828,-17.145511,-15.586828,-20.262877,-12.469463,-15.586828,-17.145511,-20.262877,-21.821559,-9.352097,-10.91078
0.05,-60.78863,-59.229947,-56.112581,-48.319167,-48.319167,-48.319167,-45.201802,-51.436533,-46.760485,-45.201802,-43.643119,-56.112581,-52.995216,-46.760485,-48.319167,-45.201802,-46.760485,-40.525753,-43.643119,-43.643119,-43.643119,-43.643119,-43.643119,-45.201802,-43.643119,-35.849705,-32.732339,-32.732339,-35.849705,-34.291022,-34.291022,-29.614974,-32.732339,-32.732339,-31.173656,-28.056291,-28.056291,-24.938925,-29.614974,-26.497608,-24.938925,-26.497608,-23.380242,-21.821559,-21.821559,-21.821559,-24.938925,-21.821559,-21.821559,-23.380242,-24.938925,-17.145511,-14.028145,-17.145511
0.1,-59.229947,-56.112581,-59.229947,-56.112581,-57.671264,-56.112581,-51.436533,-56.112581,-52.995216,-51.436533,-46.760485,-54.553899,-51.436533,-57.671264,-59.229947,-48.319167,-43.643119,-46.760485,-43.643119,-43.643119,-45.201802,-48.319167,-48.319167,-45.201802,-45.201802,-48.319167,-51.436533,-42.084436,-42.084436,-43.643119,-40.525753,-40.525753,-42.084436,-40.525753,-34.291022,-40.525753,-35.849705,-32.732339,-24.938925,-28.056291,-34.291022,-29.614974,-28.056291,-37.408388,-40.525753,-29.614974,-24.938925,-28.056291,-29.614974,-29.614974,-28.056291,-21.821559,-21.821559,-29.614974
0.15,-63.905996,-65.464678,-56.112581,-57.671264,-51.436533,-51.436533,-56.112581,-59.229947,-57.671264,-56.112581,-48.319167,-48.319167,-48.319167,-49.87785,-54.553899,-49.87785,-59.229947,-54.553899,-56.112581,-51.436533,-43.643119,-43.643119,-49.87785,-51.436533,-52.995216,-56.112581,-56.112581,-51.436533,-49.87785,-43.643119,-38.96707,-42.084436,-45.201802,-45.201802,-45.201802,-48.319167,-48.319167,-40.525753,-43.643119,-40.525753,-37.408388,-37.408388,-35.849705,-32.732339,-28.056291,-29.614974,-29.614974,-28.056291,-29.614974,-23.380242,-23.380242,-32.732339,-37.408388,-31.173656
0.2,-56.112581,-51.436533,-67.023361,-57.671264,-60.78863,-62.347313,-67.023361,-62.347313,-56.112581,-56.112581,-56.112581,-57.671264,-51.436533,-56.112581,-59.229947,-59.229947,-56.112581,-59.229947,-56.112581,-56.112581,-56.112581,-56.112581,-56.112581,-49.87785,-45.201802,-48.319167,-54.553899,-51.436533,-52.995216,-51.436533,-51.436533,-43.643119,-49.87785,-48.319167,-43.643119,-48.319167,-43.643119,-43.643119,-43.643119,-40.525753,-37.408388,-35.849705,-40.525753,-43.643119,-43.643119,-43.643119,-40.525753,-35.849705,-35.849705,-35.849705,-37.408388,-37.408388,-37.408388,-32.732339
0.25,-57.671264,-57.671264,-56.112581,-51.436533,-52.995216,-57.671264,-54.553899,-56.112581,-56.112581,-57.671264,-63.905996,-65.464678,-63.905996,-60.78863,-52.995216,-56.112581,-63.905996,-62.347313,-56.112581,-56.112581,-51.436533,-56.112581,-48.319167,-40.525753,-46.760485,-51.436533,-49.87785,-51.436533,-52.995216,-54.553899,-42.084436,-43.643119,-45.201802,-48.319167,-48.319167,-46.760485,-48.319167,-45.201802,-48.319167,-48.319167,-40.525753,-43.643119,-43.643119,-40.525753,-42.084436,-43.643119,-40.525753,-46.760485,-40.525753,-34.291022,-38.96707,-40.525753,-43.643119,-45.201802
0.3,-56.112581,-62.347313,-56.112581,-57.671264,-51.436533,-54.553899,-57.671264,-59.229947,-51.436533,-49.87785,-67.023361,-62.347313,-52.995216,-57.671264,-57.671264,-56.112581,-56.112581,-54.553899,-56.112581,-56.112581,-52.995216,-54.553899,-56.112581,-56.112581,-54.553899,-56.112581,-54.553899,-56.112581,-51.436533,-51.436533,-51.436533,-54.553899,-54.553899,-42.084436,-40.525753,-46.760485,-51.436533,-49.87785,-51.436533,-49.87785,-52.995216,-51.436533,-49.87785,-48.319167,-48.319167,-48.319167,-43.643119,-40.525753,-42.084436,-40.525753,-43.643119,-42.084436,-42.084436,-38.96707
0.35,-54.553899,-54.553899,-54.553899,-52.995216,-51.436533,-56.112581,-60.78863,-52.995216,-59.229947,-59.229947,-51.436533,-52.995216,-57.671264,-59.229947,-43.643119,-45.201802,-52.995216,-57.671264,-65.464678,-52.995216,-52.995216,-56.112581,-54.553899,-56.112581,-52.995216,-56.112581,-51.436533,-48.319167,-48.319167,-59.229947,-63.905996,-65.464678,-51.436533,-51.436533,-51.436533,-48.319167,-51.436533,-52.995216,-48.319167,-45.201802,-48.319167,-48.319167,-42.084436,-43.643119,-43.643119,-48.319167,-48.319167,-48.319167,-46.760485,-46.760485,-48.319167,-42.084436,-40.525753,-42.084436
0.4,-48.319167,-43.643119,-38.96707,-40.525753,-43.643119,-51.436533,-56.112581,-59.229947,-56.112581,-49.87785,-42.084436,-48.319167,-48.319167,-49.87785,-48.319167,-51.436533,-51.436533,-56.112581,-57.671264,-56.112581,-51.436533,-48.319167,-51.436533,-56.112581,-52.995216,-59.229947,-56.112581,-52.995216,-48.319167,-52.995216,-59.229947,-56.112581,-51.436533,-48.319167,-51.436533,-51.436533,-48.319167,-48.319167,-56.112581,-51.436533,-40.525753,-42.084436,-43.643119,-48.319167,-46.760485,-43.643119,-48.319167,-48.319167,-48.319167,-45.201802,-38.96707,-37.408388,-43.643119,-46.760485
