time,54.5125,55.4925,56.4725,57.4525,58.4325,59.4125,60.3925,61.3725,62.3525,63.3325,64.3125,65.2925,66.2725,67.2525,68.2325,69.2125,70.1925,71.1725,72.1525,73.1325,74.1125,75.0925,76.0725,77.0525,78.0325,79.0125,79.9925,80.9725,81.9525,82.9325,83.9125,84.8925,85.8725,86.8525,87.8325,88.8125,89.7925,90.7725,91.7525,92.7325,93.7125,94.6925,95.6725,96.6525,97.6325,98.6125
0,-43.643119,-46.760485,-48.319167,-43.643119,-43.643119,-40.525753,-37.408388,-48.319167,-54.553899,-57.671264,-49.87785,-56.112581,-40.525753,-43.643119,-48.319167,-49.87785,-56.112581,-54.553899,-45.201802,-43.643119,-46.760485,-46.760485,-49.87785,-48.319167,-48.319167,-48.319167,-43.643119,-43.643119,-43.643119,-49.87785,-48.319167,-40.525753,-48.319167,-43.643119,-43.643119,-40.525753,-38.96707,-32.732339,-32.732339,-35.849705,-37.408388,-40.525753,-45.201802,-43.643119,-43.643119,-40.525753
0.05,-45.201802,-42.084436,-48.319167,-43.643119,-46.760485,-40.525753,-32.732339,-46.760485,-43.643119,-38.96707,-42.084436,-43.643119,-48.319167,-48.319167,-46.760485,-48.319167,-48.319167,-48.319167,-48.319167,-48.319167,-46.760485,-37.408388,-40.525753,-43.643119,-49.87785,-43.643119,-43.643119,-48.319167,-46.760485,-35.849705,-42.084436,-48.319167,-48.319167,-46.760485,-37.408388,-46.760485,-49.87785,-42.084436,-40.525753,-40.525753,-40.525753,-38.96707,-34.291022,-32.732339,-38.96707,-37.408388
0.1,-26.497608,-38.96707,-28.056291,-28.056291,-35.849705,-37.408388,-38.96707,-35.849705,-40.525753,-45.201802,-45.201802,-48.319167,-48.319167,-43.643119,-35.849705,-31.173656,-32.732339,-35.849705,-40.525753,-40.525753,-38.96707,-38.96707,-38.96707,-38.96707,-37.408388,-38.96707,-46.760485,-51.436533,-48.319167,-40.525753,-40.525753,-40.525753,-38.96707,-48.319167,-46.760485,-51.436533,-42.084436,-35.849705,-34.291022,-38.96707,-42.084436,-43.643119,-49.87785,-48.319167,-48.319167,-40.525753
0.15,-17.145511,-17.145511,-23.380242,-23.380242,-20.262877,-32.732339,-24.938925,-32.732339,-28.056291,-28.056291,-34.291022,-35.849705,-43.643119,-35.849705,-35.849705,-43.643119,-43.643119,-40.525753,-38.96707,-43.643119,-40.525753,-40.525753,-40.525753,-40.525753,-40.525753,-42.084436,-35.849705,-38.96707,-38.96707,-38.96707,-43.643119,-43.643119,-43.643119,-42.084436,-48.319167,-48.319167,-49.87785,-49.87785,-43.643119,-43.643119,-43.643119,-35.849705,-35.849705,-46.760485,-46.760485,-43.643119
0.2,-9.352097,-12.469463,-12.469463,-23.380242,-21.821559,-20.262877,-24.938925,-24.938925,-24.938925,-23.380242,-24.938925,-23.380242,-32.732339,-32.732339,-35.849705,-35.849705,-31.173656,-32.732339,-32.732339,-32.732339,-29.614974,-32.732339,-34.291022,-35.849705,-34.291022,-40.525753,-40.525753,-34.291022,-37.408388,-35.849705,-37.408388,-45.201802,-43.643119,-43.643119,-43.643119,-42.084436,-43.643119,-43.643119,-51.436533,-51.436533,-54.553899,-40.525753,-40.525753,-40.525753,-40.525753,-32.732339
0.25,-1.558683,0,-9.352097,-6.234731,-12.469463,-17.145511,-20.262877,-18.704194,-20.262877,-17.145511,-20.262877,-21.821559,-24.938925,-23.380242,-23.380242,-29.614974,-28.056291,-28.056291,-28.056291,-29.614974,-32.732339,-24.938925,-32.732339,-35.849705,-32.732339,-24.938925,-35.849705,-37.408388,-37.408388,-34.291022,-38.96707,-32.732339,-35.849705,-40.525753,-37.408388,-34.291022,-32.732339,-37.408388,-42.084436,-43.643119,-40.525753,-40.525753,-43.643119,-40.525753,-40.525753,-35.849705
0.3,7.793414,10.91078,12.469463,6.234731,3.117366,-6.234731,-7.793414,-9.352097,-9.352097,-9.352097,-14.028145,-14.028145,-21.821559,-17.145511,-17.145511,-23.380242,-26.497608,-24.938925,-20.262877,-24.938925,-28.056291,-23.380242,-21.821559,-24.938925,-24.938925,-26.497608,-28.056291,-31.173656,-32.732339,-32.732339,-32.732339,-32.732339,-32.732339,-32.732339,-29.614974,-32.732339,-32.732339,-34.291022,-29.614974,-29.614974,-35.849705,-37.408388,-35.849705,-34.291022,-31.173656,-32.732339
0.35,15.586828,17.145511,20.262877,14.028145,17.145511,12.469463,14.028145,-3.117366,-4.676048,-3.117366,-7.793414,-9.352097,-10.91078,-6.234731,-14.028145,-14.028145,-14.028145,-14.028145,-14.028145,-18.704194,-21.821559,-20.262877,-23.380242,-23.380242,-20.262877,-21.821559,-15.586828,-17.145511,-21.821559,-23.380242,-28.056291,-24.938925,-24.938925,-24.938925,-21.821559,-24.938925,-24.938925,-32.732339,-32.732339,-28.056291,-28.056291,-31.173656,-29.614974,-34.291022,-29.614974,-31.173656
0.4,28.056291,28.056291,17.145511,14.028145,21.821559,9.352097,10.91078,21.821559,9.352097,6.234731,1.558683,1.558683,26.497608,6.234731,-7.793414,-6.234731,-9.352097,-9.352097,-9.352097,-9.352097,-7.793414,-15.586828,-15.586828,-15.586828,-17.145511,-18.704194,-12.469463,-14.028145,-15.586828,-18.704194,-17.145511,-20.262877,-18.704194,-24.938925,-21.821559,-21.821559,-24.938925,-23.380242,-26.497608,-23.380242,-21.821559,-24.938925,-29.614974,-26.497608,-28.056291,-24.938925
