time,72.5,71.52,70.54,69.56,68.58,67.6,66.62,65.64,64.66,63.68,62.7,61.72,60.74,59.76,58.78,57.8,56.82,55.84,54.86,53.88,52.9,51.92,50.94,49.96,48.98,48,47.02,46.04,45.06,44.08,43.1,42.12,41.14,40.16,39.18,38.2,37.22,36.24,35.26,34.28
0,-85.727555,-88.844921,-85.727555,-93.520969,-88.844921,-85.727555,-77.934141,-77.934141,-71.69941,-79.492824,-82.610189,-81.051507,-76.375458,-62.347313,-62.347313,-63.905996,-63.905996,-65.464678,-68.582044,-46.760485,-48.319167,-48.319167,-46.760485,-42.084436,-43.643119,-40.525753,-32.732339,-31.173656,-28.056291,-32.732339,-32.732339,-21.821559,-18.704194,-17.145511,-17.145511,-14.028145,-12.469463,-6.234731,-1.558683,-3.117366
0.028,-77.934141,-77.934141,-84.168872,-84.168872,-82.610189,-71.69941,-90.403603,-85.727555,-77.934141,-76.375458,-73.258092,-84.168872,-79.492824,-74.816775,-74.816775,-71.69941,-59.229947,-60.78863,-65.464678,-56.112581,-51.436533,-49.87785,-49.87785,-51.436533,-35.849705,-38.96707,-40.525753,-40.525753,-32.732339,-31.173656,-32.732339,-24.938925,-26.497608,-28.056291,-24.938925,-21.821559,-18.704194,-32.732339,-18.704194,-17.145511
0.056,-68.582044,-76.375458,-67.023361,-63.905996,-71.69941,-67.023361,-65.464678,-67.023361,-73.258092,-73.258092,-74.816775,-74.816775,-70.140727,-71.69941,-68.582044,-56.112581,-56.112581,-51.436533,-51.436533,-54.553899,-54.553899,-60.78863,-48.319167,-42.084436,-51.436533,-48.319167,-48.319167,-42.084436,-43.643119,-43.643119,-31.173656,-29.614974,-29.614974,-28.056291,-24.938925,-28.056291,-18.704194,-24.938925,-18.704194,-18.704194
0.084,-54.553899,-56.112581,-56.112581,-59.229947,-59.229947,-67.023361,-65.464678,-67.023361,-52.995216,-59.229947,-60.78863,-62.347313,-59.229947,-59.229947,-57.671264,-60.78863,-67.023361,-63.905996,-57.671264,-59.229947,-59.229947,-59.229947,-59.229947,-51.436533,-56.112581,-56.112581,-51.436533,-43.643119,-42.084436,-42.084436,-35.849705,-42.084436,-40.525753,-32.732339,-32.732339,-32.732339,-24.938925,-24.938925,-24.938925,-26.497608
0.112,-32.732339,-40.525753,-43.643119,-48.319167,-45.201802,-46.760485,-52.995216,-51.436533,-49.87785,-52.995216,-59.229947,-62.347313,-62.347313,-63.905996,-63.905996,-63.905996,-59.229947,-63.905996,-56.112581,-59.229947,-59.229947,-59.229947,-57.671264,-48.319167,-49.87785,-51.436533,-48.319167,-46.760485,-45.201802,-51.436533,-46.760485,-45.201802,-42.084436,-38.96707,-43.643119,-32.732339,-40.525753,-40.525753,-32.732339,-34.291022
0.14,-14.028145,-24.938925,-24.938925,-24.938925,-29.614974,-35.849705,-35.849705,-38.96707,-43.643119,-48.319167,-46.760485,-45.201802,-45.201802,-48.319167,-54.553899,-56.112581,-52.995216,-51.436533,-51.436533,-40.525753,-40.525753,-46.760485,-54.553899,-54.553899,-56.112581,-48.319167,-49.87785,-51.436533,-51.436533,-48.319167,-51.436533,-43.643119,-43.643119,-45.201802,-45.201802,-42.084436,-37.408388,-32.732339,-37.408388,-40.525753
0.168,17.145511,-14.028145,-15.586828,-17.145511,-21.821559,-24.938925,-26.497608,-28.056291,-31.173656,-37.408388,-37.408388,-37.408388,-42.084436,-43.643119,-48.319167,-49.87785,-46.760485,-45.201802,-49.87785,-51.436533,-49.87785,-56.112581,-51.436533,-60.78863,-59.229947,-59.229947,-59.229947,-56.112581,-51.436533,-52.995216,-51.436533,-52.995216,-46.760485,-48.319167,-48.319167,-48.319167,-38.96707,-32.732339,-42.084436,-51.436533
0.196,24.938925,20.262877,6.234731,7.793414,-6.234731,-4.676048,-15.586828,-18.704194,-18.704194,-17.145511,-26.497608,-35.849705,-29.614974,-31.173656,-32.732339,-32.732339,-37.408388,-45.201802,-45.201802,-40.525753,-40.525753,-40.525753,-43.643119,-46.760485,-48.319167,-35.849705,-38.96707,-40.525753,-42.084436,-32.732339,-48.319167,-56.112581,-56.112581,-51.436533,-48.319167,-45.201802,-43.643119,-35.849705,-40.525753,-45.201802
0.224,35.849705,32.732339,20.262877,20.262877,21.821559,18.704194,24.938925,-3.117366,-4.676048,-4.676048,-14.028145,-6.234731,-17.145511,-17.145511,-14.028145,-23.380242,-26.497608,-31.173656,-31.173656,-31.173656,-37.408388,-40.525753,-40.525753,-37.408388,-34.291022,-40.525753,-48.319167,-42.084436,-45.201802,-38.96707,-43.643119,-38.96707,-51.436533,-51.436533,-56.112581,-52.995216,-49.87785,-46.760485,-48.319167,-45.201802
