time,66.64,67.62,68.6,69.58,70.56,71.54,72.52,73.5,74.48,75.46,76.44,77.42,78.4,79.38,80.36,81.34,82.32,83.3,84.28,85.26,86.24,87.22,88.2,89.18,90.16,91.14,92.12,93.1,94.08,95.06,96.04,97.02
0,-63.905996,-63.905996,-63.905996,-70.140727,-71.69941,-71.69941,-67.023361,-68.582044,-71.69941,-63.905996,-65.464678,-68.582044,-51.436533,-51.436533,-49.87785,-56.112581,-57.671264,-60.78863,-54.553899,-46.760485,-48.319167,-52.995216,-57.671264,-52.995216,-49.87785,-51.436533,-52.995216,-56.112581,-56.112581,-56.112581,-43.643119,-38.96707
0.05,-48.319167,-48.319167,-57.671264,-59.229947,-62.347313,-71.69941,-79.492824,-77.934141,-98.197018,-48.319167,-54.553899,-57.671264,-60.78863,-60.78863,-60.78863,-54.553899,-48.319167,-45.201802,-52.995216,-52.995216,-51.436533,-52.995216,-52.995216,-54.553899,-49.87785,-54.553899,-56.112581,-52.995216,-52.995216,-52.995216,-52.995216,-46.760485
0.1,-43.643119,-32.732339,-35.849705,-42.084436,-43.643119,-67.023361,-68.582044,-87.286238,-62.347313,-59.229947,-51.436533,-46.760485,-48.319167,-56.112581,-56.112581,-56.112581,-51.436533,-49.87785,-52.995216,-49.87785,-51.436533,-54.553899,-57.671264,-48.319167,-51.436533,-48.319167,-46.760485,-49.87785,-51.436533,-51.436533,-48.319167,-40.525753
0.15,-14.028145,-23.380242,-24.938925,-28.056291,-29.614974,-32.732339,-34.291022,-35.849705,-37.408388,-43.643119,-32.732339,-35.849705,-34.291022,-35.849705,-35.849705,-35.849705,-40.525753,-42.084436,-35.849705,-31.173656,-31.173656,-28.056291,-35.849705,-37.408388,-40.525753,-40.525753,-37.408388,-28.056291,-40.525753,-42.084436,-43.643119,-38.96707
0.2,-1.558683,-1.558683,-7.793414,-7.793414,-7.793414,-6.234731,-6.234731,-1.558683,-3.117366,-1.558683,-15.586828,-14.028145,-18.704194,-21.821559,-21.821559,-24.938925,-23.380242,-21.821559,-18.704194,-23.380242,-21.821559,-17.145511,-21.821559,-23.380242,-23.380242,-24.938925,-26.497608,-26.497608,-17.145511,-32.732339,-32.732339,-34.291022
0.25,15.586828,21.821559,14.028145,15.586828,14.028145,6.234731,17.145511,34.291022,40.525753,45.201802,24.938925,10.91078,3.117366,4.676048,-6.234731,-6.234731,-6.234731,-9.352097,-6.234731,-6.234731,-6.234731,-9.352097,-10.91078,-9.352097,-9.352097,-9.352097,-12.469463,-17.145511,-15.586828,-14.028145,-14.028145,-14.028145
0.3,40.525753,31.173656,34.291022,31.173656,32.732339,32.732339,32.732339,37.408388,68.582044,81.051507,34.291022,14.028145,17.145511,17.145511,14.028145,14.028145,10.91078,15.586828,15.586828,15.586828,14.028145,14.028145,4.676048,6.234731,4.676048,-6.234731,-3.117366,0,-1.558683,1.558683,-3.117366,-9.352097
0.35,51.436533,46.760485,45.201802,48.319167,43.643119,56.112581,63.905996,57.671264,46.760485,35.849705,24.938925,23.380242,26.497608,29.614974,31.173656,29.614974,24.938925,23.380242,26.497608,21.821559,20.262877,21.821559,24.938925,20.262877,14.028145,12.469463,12.469463,7.793414,14.028145,10.91078,9.352097,12.469463
0.4,59.229947,54.553899,49.87785,48.319167,46.760485,57.671264,71.69941,73.258092,48.319167,35.849705,32.732339,35.849705,32.732339,29.614974,31.173656,34.291022,31.173656,29.614974,37.408388,32.732339,24.938925,21.821559,21.821559,21.821559,20.262877,21.821559,24.938925,17.145511,18.704194,21.821559,20.262877,20.262877
0.45,57.671264,54.553899,59.229947,60.78863,57.671264,60.78863,68.582044,73.258092,101.314383,49.87785,46.760485,48.319167,48.319167,51.436533,43.643119,43.643119,40.525753,35.849705,40.525753,38.96707,32.732339,32.732339,29.614974,32.732339,29.614974,32.732339,32.732339,24.938925,21.821559,24.938925,28.056291,28.056291
0.5,48.319167,57.671264,63.905996,59.229947,60.78863,74.816775,82.610189,76.375458,93.520969,59.229947,43.643119,48.319167,48.319167,48.319167,46.760485,40.525753,40.525753,37.408388,32.732339,32.732339,29.614974,32.732339,35.849705,40.525753,40.525753,32.732339,34.291022,35.849705,32.732339,34.291022,31.173656,32.732339
0.55,57.671264,45.201802,49.87785,52.995216,51.436533,68.582044,65.464678,76.375458,51.436533,48.319167,56.112581,48.319167,45.201802,40.525753,40.525753,40.525753,40.525753,32.732339,26.497608,35.849705,40.525753,40.525753,35.849705,28.056291,24.938925,24.938925,24.938925,28.056291,31.173656,32.732339,32.732339,26.497608
0.6,43.643119,49.87785,45.201802,42.084436,40.525753,43.643119,43.643119,46.760485,48.319167,48.319167,49.87785,46.760485,45.201802,43.643119,40.525753,43.643119,35.849705,40.525753,43.643119,42.084436,35.849705,38.96707,31.173656,35.849705,42.084436,40.525753,35.849705,38.96707,35.849705,34.291022,29.614974,28.056291
