#, ElapsedTime[ms], Freq[Hz], Duty[%], Pres1[Pa], Pres2[Pa], Pres_diff[Pa]
0,0,0.50,50.02,-2185.74,-1877.01,-308.73
1,33,0.50,50.02,-2186.87,-1876.42,-310.46
2,38,0.50,50.02,-2186.80,-1875.94,-310.87
3,42,0.50,50.02,-2186.75,-1875.55,-311.19
4,47,0.50,50.02,-2186.70,-1875.25,-311.45
5,52,0.50,50.02,-2185.69,-1877.93,-307.76
6,57,0.50,50.02,-2184.88,-1878.13,-306.75
7,63,0.50,50.02,-2185.21,-1877.31,-307.90
8,68,0.50,50.02,-2185.47,-1876.65,-308.82
9,72,0.50,50.02,-2183.73,-1876.12,-307.60
10,77,0.50,50.02,-2183.31,-1876.68,-306.63
11,84,0.50,50.02,-2182.00,-1876.15,-305.85
12,89,0.50,50.02,-2179.98,-1875.72,-304.25
13,93,0.50,50.02,-2181.29,-1875.38,-305.90
14,98,0.50,50.02,-2181.36,-1877.07,-304.29
15,103,0.50,50.02,-2182.39,-1877.43,-304.96
16,109,0.50,50.02,-2183.22,-1876.75,-306.47
17,114,0.50,50.02,-2181.92,-1877.18,-304.74
18,118,0.50,50.02,-2182.84,-1876.55,-306.29
19,123,0.50,50.02,-2183.58,-1876.05,-307.54
20,128,0.50,50.02,-2184.17,-1875.64,-308.53
21,133,0.50,50.02,-2184.64,-1876.29,-308.35
22,140,0.50,50.02,-2183.06,-1875.84,-307.22
23,144,0.50,50.02,-2182.78,-1875.48,-307.30
24,150,0.50,50.02,-2183.53,-1877.14,-306.39
25,155,0.50,50.02,-2184.13,-1876.52,-307.61
26,160,0.50,50.02,-2183.63,-1877.97,-305.66
27,165,0.50,50.02,-2184.21,-1877.18,-307.03
28,170,0.50,50.02,-2184.67,-1876.55,-308.12
29,174,0.50,50.02,-2186.02,-1876.04,-309.97
30,179,0.50,50.02,-2186.12,-1875.64,-310.48
31,184,0.50,50.02,-2186.20,-1876.29,-309.91
32,190,0.50,50.02,-2186.27,-1875.84,-310.43
33,198,0.50,50.02,-2186.32,-1876.45,-309.86
