#, ElapsedTime[ms], Freq[Hz], Duty[%], Pres1[Pa], Pres2[Pa], Pres_diff[Pa]
0,0,1.00,70.00,1248.71,1509.91,-261.20
1,36,1.00,70.00,1249.16,1510.86,-261.69
2,41,1.00,70.00,1249.53,1511.62,-262.09
3,46,1.00,70.00,1249.82,1512.22,-262.41
4,51,1.00,70.00,1250.05,1512.71,-262.66
5,56,1.00,70.00,1250.23,1514.07,-263.84
6,61,1.00,70.00,1250.38,1512.23,-261.85
7,65,1.00,70.00,1250.50,1512.72,-262.22
8,70,1.00,70.00,1250.60,1513.10,-262.51
9,76,1.00,70.00,1248.72,1513.41,-264.69
10,81,1.00,70.00,1249.17,1510.73,-261.56
11,88,1.00,70.00,1249.53,1511.51,-261.98
12,93,1.00,70.00,1249.82,1512.14,-262.32
13,98,1.00,70.00,1250.05,1512.64,-262.59
14,102,1.00,70.00,1250.24,1513.04,-262.81
15,107,1.00,70.00,1250.38,1513.36,-262.98
16,112,1.00,70.00,1250.50,1513.62,-263.12
17,118,1.00,70.00,1250.60,1512.85,-262.25
18,123,1.00,70.00,1250.67,1512.23,-261.56
19,128,1.00,70.00,1247.80,1512.72,-264.91
20,132,1.00,70.00,1248.44,1513.10,-264.66
21,137,1.00,70.00,1248.95,1512.44,-263.49
22,142,1.00,70.00,1249.35,1511.90,-262.55
23,149,1.00,70.00,1247.72,1512.45,-264.73
24,154,1.00,70.00,1248.37,1509.96,-261.59
25,160,1.00,70.00,1248.89,1510.90,-262.00
26,165,1.00,70.00,1249.31,1511.65,-262.34
27,170,1.00,70.00,1249.64,1512.25,-262.60
28,175,1.00,70.00,1249.91,1511.75,-261.84
29,180,1.00,70.00,1250.12,1512.33,-262.21
30,184,1.00,70.00,1250.29,1511.82,-261.52
31,189,1.00,70.00,1250.43,1512.38,-261.95
32,194,1.00,70.00,1250.54,1511.86,-261.32
33,199,1.00,70.00,1250.63,1511.44,-260.81
34,205,1.00,70.00,1251.67,1511.11,-259.43
35,212,1.00,70.00,1251.53,1511.81,-260.28
36,217,1.00,70.00,1251.42,1511.41,-259.98
37,221,1.00,70.00,1251.33,1511.08,-259.74
38,227,1.00,70.00,1251.26,1511.79,-260.53
39,231,1.00,70.00,1251.20,1511.39,-260.18
40,236,1.00,70.00,1251.16,1512.04,-260.88
41,241,1.00,70.00,1251.12,1511.58,-260.46
42,247,1.00,70.00,1251.09,1511.22,-260.13
43,252,1.00,70.00,1251.07,1510.93,-259.86
44,256,1.00,70.00,1251.05,1511.67,-260.62
45,261,1.00,70.00,1251.04,1511.29,-260.26
46,266,1.00,70.00,1251.02,1510.99,-259.96
47,273,1.00,70.00,1251.01,1509.77,-258.75
48,278,1.00,70.00,1250.03,1509.77,-259.74
49,283,1.00,70.00,1250.22,1506.84,-256.62
50,289,1.00,70.00,1250.37,1507.42,-257.05
51,294,1.00,70.00,1250.49,1508.87,-258.38
52,299,1.00,70.00,1250.59,1509.05,-258.46
53,303,1.00,70.00,1250.67,1508.21,-257.55
54,308,1.00,70.00,1250.73,1508.52,-257.80
55,313,1.00,70.00,1250.78,1508.77,-257.99
56,318,1.00,70.00,1251.79,1508.97,-257.18
57,323,1.00,70.00,1251.63,1509.13,-257.50
58,329,1.00,70.00,1252.48,1510.23,-257.76
59,336,1.00,70.00,1253.15,1510.14,-256.99
60,341,1.00,70.00,1253.69,1510.07,-256.37
61,345,1.00,70.00,1253.15,1510.01,-256.85
