,1,,,
 nProfiles,nChannels,MinSampTimeValue[msec],ChannelDistance[mm],VelResolution[mm/s],start[mm],nu[mm^2/s],f0[Hz],Theta[deg],R[mm],xi_Wall[mm]
400,78,50.0,1.5,-,1.7,1000,1.0,90,72.5,50,
    nan, 1.7000, 3.2000, 4.7000, 6.2000, 7.7000, 9.2000,10.7000,12.2000,13.7000,15.2000,16.7000,18.2000,19.7000,21.2000,22.7000,24.2000,25.7000,27.2000,28.7000,30.2000,31.7000,33.2000,34.7000,36.2000,37.7000,39.2000,40.7000,42.2000,43.7000,45.2000,46.7000,48.2000,49.7000,51.2000,52.7000,54.2000,55.7000,57.2000,58.7000,60.2000,61.7000,63.2000,64.7000,66.2000,67.7000,69.2000,70.7000,72.2000,73.7000,75.2000,76.7000,78.2000,79.7000,81.2000,82.7000,84.2000,85.7000,87.2000,88.7000,90.2000,91.7000,93.2000,94.7000,96.2000,97.7000,99.2000,100.7000,102.2000,103.7000,105.2000,106.7000,108.2000,109.7000,111.2000,112.7000,114.2000,115.7000,117.2000
 0.0000,-2.1566,-0.5425,-1.8402,-0.4988,-2.8302, 5.4484,-4.3981,-0.1189,-0.5454, 1.1806,-8.8184,-3.3346, 0.9830,-4.5185, 1.0681, 0.4804, 0.9668, 2.4273,-9.1161, 0.9300, 0.3434, 0.2865,-2.6569,-7.7589,-4.2292, 8.7015, 3.2674, 0.2297,-7.1577,-5.1916, 0.5535,-9.4322, 1.7267, 0.2172,-13.9382,-15.3175,-24.8038,-29.2301,-36.1624,-47.3634,-48.6828,-47.9664,-65.9645,-76.0038,-67.1569,-70.0829,-73.8448,-71.8092,-66.7372,-79.0974,-84.0803,-85.1930,-86.1795,-100.6442,-99.6409,-95.9532,-92.6560,-91.4329,-110.5629,-99.6298,-107.0678,-118.0993,-126.4036,-114.6051,-112.6928,-132.9863,-98.0267,-125.5704,-112.2960,-122.0418,-132.9369,-144.3437,-114.2378,-140.5932,-153.2634,-126.2926,-128.4567,-156.4268
 0.0500,-1.0689,-1.7576,-0.3972,-3.1571, 1.6794,10.0380, 0.0475,-10.3926, 2.7848,-5.8445,-2.8707,-5.1583, 1.6100,-1.5440, 3.5843, 4.0819,-3.3248, 0.8854, 0.7825, 5.0395, 2.5637, 3.3994, 6.1876, 1.6725,-6.1240,-1.5293, 4.9436, 2.4005,-1.4099,-6.5964,-12.6543, 1.8762, 5.9873,66.2902,47.2455,41.7268,30.1779,17.2877,19.2334,17.0838,12.7541,-6.0832, 2.1380,-3.2114,-5.9231,-19.1558,-19.0221,-19.6867,-32.9856,-28.3289,-38.3614,-45.7338,-46.7396,-51.2718,-52.0415,-62.2599,-71.1848,-58.3504,-47.6420,-54.1627,-68.7575,-68.4920,-70.7354,-78.0906,-96.9644,-85.2549,-97.9808,-85.4665,-75.6437,-72.5370,-106.5177,-47.7412,-90.3617,-60.7683,-123.9757,-123.9751,-89.0793,-88.6140
 0.1000,-5.1111,-3.3941,-2.3664,-0.5615,-0.1645, 3.3779,-1.2928,-3.5475,-1.2591,-4.8705, 1.7675,-3.1553,-3.9327,-6.1986,-3.2663,-0.0715,-0.7841,-2.2161,-1.6206,-0.4097, 5.3745,-2.7502, 0.4561,-11.5707,-4.0004,-3.5491,-3.0618,-1.7244,-1.9768, 3.9892, 5.7159,-11.7777,-2.3188,100.8628,107.7130,98.4594,94.8112,86.4295,73.1630,59.1024,65.0236,64.5887,54.6919,45.6544,33.8749,30.8032,25.9696,31.8468,10.0090,22.6781,21.9446,16.6584,17.4071,-11.8203,-10.6397,-5.5259,-22.2352,-22.7777,-12.2074,-14.9457,-23.1859,-8.0108,-22.1127,-45.1585,-41.6119,-23.8882,-26.6336,-37.7542,-43.2941,-38.7691,-29.6947,-65.7335,-16.5145,-83.6014,-10.9121,-37.6876,-30.1320,-62.8559
 0.1500, 2.3628, 4.9400,-4.3269,-1.5255, 0.0270, 2.9142, 0.1192, 6.4405, 5.2701,-0.0646,-2.8875,-0.5698, 4.2759, 2.0579,-4.0001, 0.4830,-3.3330, 3.7938, 0.2557, 3.3210, 6.4141,-2.3570, 0.2106,-7.8783, 5.3145,-8.8228,-2.4017, 2.7152,-2.1967, 7.4700,-7.4991, 3.5070, 1.8286,148.0830,151.7462,132.0584,137.7521,138.2207,123.4034,121.3191,117.9362,109.3433,98.7659,96.9091,102.9697,82.8550,90.8146,75.4462,82.3625,80.6705,83.1739,65.2849,72.8022,48.0082,39.1057,45.0460,44.1664,51.0594,38.4622,25.5150, 6.1197,35.4672,32.9689,36.8688, 5.3689, 0.3568,42.7499,24.4896,27.2242,38.7929,63.4407,-0.4519,11.7745,18.3610,-4.2703,-4.4728, 5.4307, 6.7750
 0.2000, 2.1053,-0.9239,-4.4863, 4.7705,-3.2493,-2.0021, 2.0538,-0.5758,-1.8999,-1.3866,-3.4114, 6.2742, 5.3190, 1.6121, 2.7964,-3.7904,-1.0484, 4.1995,-3.5133,-0.7579,-5.6036, 4.7610, 6.1032, 6.4607,-6.0655, 1.2482,-0.2082, 3.1611,-9.1438, 0.7805,-3.8265,-11.1306,-0.0335,177.8073,169.5097,168.0633,168.1240,165.3664,167.9904,163.9349,152.3589,151.2389,133.7492,140.4273,123.9975,152.5631,129.3164,138.6357,113.4838,104.5626,114.1580,99.2059,95.3175,109.1238,94.2548,83.0780,96.4683,82.2146,92.3226,82.9045,90.6880,82.3356,67.9490,93.7851,73.0276,62.6048,59.8552,51.9887,62.5907,44.6230,89.1365,59.0939,65.0327,37.2951,83.8542,43.2652,51.5804,36.4549
 0.2500,-9.3946,-2.2620,-2.5539, 2.3367, 0.4776, 4.5574, 6.4566, 0.6050,-2.6727, 0.2134,-4.5992, 0.4903,-7.1134,-0.2755, 6.4266,-3.2033,-1.4435, 2.1457,-3.6414,-8.3365, 2.4144,-0.5577,-4.9875, 6.4814, 2.0315, 9.1261,-2.0302,-0.7052,-5.5960, 5.5169,-6.6235,-0.2153, 1.9160,198.9993,196.1492,196.8805,197.1903,189.4301,183.1302,183.6745,181.8128,179.6969,169.1468,185.0806,167.3986,139.4311,163.7030,154.2539,156.2828,148.7979,145.5494,149.2374,138.7312,148.9602,141.5247,141.4791,118.8881,131.8117,126.0168,125.4616,127.0115,102.7650,129.7133,131.3366,124.8367,114.4545,117.6712,112.1359,123.3267,150.3723,117.3049,127.2231,93.1170,102.1925,103.4934,88.0765,120.8314,121.7814
 0.3000, 3.8007,-3.9374,-1.6383,-2.3101,-4.1340, 3.2991,-2.0543, 2.0009,-6.3175,-1.8617,-6.2547,-3.6900, 3.1239, 5.1686,-2.2087,10.1404, 0.6596, 5.2183, 0.0436, 4.3099,-1.2212,-1.8911,-3.7301,-8.0304, 4.3093,-15.1863,-1.5954, 5.9719, 2.9568,-1.4764,-3.2943,-2.1922,-12.4895,190.5992,184.9549,182.2403,179.8516,169.5049,178.6791,182.2234,173.1776,176.6575,193.6598,176.2887,183.4402,174.0710,183.7821,176.8536,167.0023,168.9651,162.6653,156.0551,163.2955,179.3998,159.3179,160.7555,155.3905,163.9246,153.5580,145.1133,156.9295,160.8687,160.7631,156.0266,138.6442,131.2178,172.0829,155.5175,169.5370,131.7867,139.3310,186.7767,115.8502,151.6742,109.1225,151.3563,145.7857,124.8335
 0.3500, 2.7500, 0.9880,-1.6842, 2.8143, 0.6271,-1.9644, 8.5307, 1.1302,-0.3509, 8.1300,-2.6423, 1.3732, 0.1497,-3.3456, 1.6010, 2.0561,-1.2544,-1.3805, 3.5385,-4.3777, 6.9273, 3.7711,-1.3965, 9.9476,-7.1572,-4.1047, 5.6085,-1.8232, 0.5750,-2.6095,-3.2877, 1.5301,-4.7216,172.6606,159.8541,146.4962,173.9456,161.7319,166.4782,176.3295,165.6525,172.7008,168.8901,180.6461,171.8218,171.4998,168.6538,158.3605,159.4215,164.6018,176.8995,166.2482,182.1947,146.2281,153.7544,172.0605,186.0314,191.0298,164.9067,168.4605,156.6162,174.2056,167.6535,167.6769,179.4285,148.2404,172.6527,160.6956,134.8216,175.3793,145.9512,183.0507,149.0995,141.7478,152.3061,157.2699,211.6829,147.5820
 0.4000,-4.2345,-6.6804, 4.4830,-4.5896, 4.1881,-4.6481, 5.8615,-0.1409,-2.4428,-0.4157, 3.1070, 1.7234,-1.1114, 5.1744,10.7599,-1.2059,-3.8652,-1.0255, 2.4653, 1.8370, 0.0989, 3.5487, 3.1826,-1.9102,-6.0680, 6.8984, 5.9810, 2.1429,-0.8539,-6.4170, 0.4426, 0.1174, 2.9887,118.8543,124.1684,126.7027,132.1491,128.9485,140.2433,143.2861,148.2189,137.5044,157.4272,153.9921,139.5383,160.5616,152.8963,168.6024,160.3363,165.4892,156.4556,156.7902,167.6264,157.5348,166.4223,166.4192,163.6819,151.0323,155.8872,163.0048,167.6487,184.4411,178.6742,169.7012,178.6651,173.9812,156.0859,168.2761,185.5368,167.2523,164.3099,163.5026,129.0900,160.3294,158.5899,165.9774,163.5617,209.0059
