time,72.5,71.52,70.54,69.56,68.58,67.6,66.62,65.64,64.66,63.68,62.7,61.72,60.74,59.76,58.78,57.8,56.82,55.84,54.86,53.88,52.9,51.92,50.94,49.96,48.98,48,47.02,46.04,45.06,44.08,43.1,42.12,41.14,40.16,39.18,38.2,37.22,36.24,35.26,34.28
0,9.352097,15.586828,18.704194,17.145511,23.380242,28.056291,31.173656,32.732339,31.173656,28.056291,38.96707,46.760485,46.760485,48.319167,51.436533,49.87785,51.436533,56.112581,59.229947,54.553899,59.229947,57.671264,63.905996,62.347313,60.78863,70.140727,65.464678,68.582044,70.140727,68.582044,62.347313,67.023361,68.582044,63.905996,65.464678,67.023361,74.816775,71.69941,65.464678,67.023361
0.028,6.234731,7.793414,9.352097,12.469463,17.145511,23.380242,24.938925,24.938925,23.380242,24.938925,34.291022,37.408388,38.96707,42.084436,48.319167,48.319167,43.643119,42.084436,35.849705,48.319167,56.112581,57.671264,56.112581,62.347313,60.78863,57.671264,54.553899,59.229947,56.112581,59.229947,68.582044,63.905996,63.905996,63.905996,59.229947,60.78863,62.347313,65.464678,73.258092,65.464678
0.056,-6.234731,-6.234731,-3.117366,7.793414,12.469463,20.262877,20.262877,21.821559,24.938925,23.380242,21.821559,29.614974,32.732339,31.173656,34.291022,38.96707,42.084436,43.643119,48.319167,46.760485,46.760485,45.201802,45.201802,46.760485,52.995216,52.995216,56.112581,54.553899,59.229947,56.112581,56.112581,63.905996,51.436533,52.995216,59.229947,67.023361,63.905996,60.78863,63.905996,56.112581
0.084,-10.91078,-10.91078,-10.91078,-14.028145,0,6.234731,9.352097,12.469463,15.586828,14.028145,24.938925,24.938925,23.380242,32.732339,32.732339,32.732339,37.408388,37.408388,37.408388,35.849705,34.291022,38.96707,40.525753,43.643119,43.643119,43.643119,43.643119,43.643119,43.643119,46.760485,49.87785,51.436533,51.436533,51.436533,56.112581,42.084436,48.319167,59.229947,56.112581,56.112581
0.112,-32.732339,-26.497608,-20.262877,-18.704194,-17.145511,-10.91078,-9.352097,-6.234731,0,3.117366,4.676048,9.352097,17.145511,17.145511,20.262877,21.821559,24.938925,24.938925,31.173656,32.732339,35.849705,40.525753,35.849705,35.849705,35.849705,43.643119,35.849705,48.319167,46.760485,40.525753,38.96707,48.319167,49.87785,48.319167,51.436533,56.112581,59.229947,60.78863,54.553899,52.995216
0.14,-35.849705,-28.056291,-29.614974,-28.056291,-17.145511,-15.586828,-14.028145,-12.469463,-6.234731,-1.558683,1.558683,14.028145,9.352097,12.469463,14.028145,14.028145,14.028145,14.028145,21.821559,21.821559,28.056291,28.056291,28.056291,37.408388,31.173656,32.732339,34.291022,42.084436,31.173656,43.643119,45.201802,42.084436,42.084436,46.760485,49.87785,40.525753,45.201802,48.319167,43.643119,43.643119
0.168,-37.408388,-42.084436,-42.084436,-38.96707,-35.849705,-28.056291,-20.262877,-17.145511,-17.145511,-21.821559,-21.821559,-3.117366,0,-3.117366,7.793414,1.558683,10.91078,9.352097,9.352097,21.821559,18.704194,21.821559,20.262877,24.938925,28.056291,31.173656,32.732339,18.704194,31.173656,32.732339,31.173656,35.849705,32.732339,32.732339,28.056291,34.291022,42.084436,48.319167,42.084436,43.643119
0.196,-52.995216,-46.760485,-48.319167,-43.643119,-40.525753,-32.732339,-28.056291,-24.938925,-24.938925,-23.380242,-17.145511,-12.469463,-10.91078,-12.469463,-14.028145,-6.234731,-1.558683,6.234731,9.352097,9.352097,10.91078,14.028145,26.497608,32.732339,31.173656,38.96707,26.497608,23.380242,28.056291,28.056291,28.056291,23.380242,24.938925,34.291022,32.732339,31.173656,32.732339,38.96707,38.96707,40.525753
0.224,-59.229947,-60.78863,-52.995216,-49.87785,-48.319167,-40.525753,-35.849705,-35.849705,-29.614974,-28.056291,-34.291022,-18.704194,-15.586828,-14.028145,-12.469463,-12.469463,-6.234731,-6.234731,6.234731,-9.352097,3.117366,7.793414,1.558683,4.676048,10.91078,10.91078,6.234731,17.145511,23.380242,31.173656,18.704194,21.821559,23.380242,32.732339,32.732339,32.732339,32.732339,32.732339,32.732339,34.291022
0.252,-76.375458,-71.69941,-60.78863,-57.671264,-59.229947,-56.112581,-51.436533,-48.319167,-34.291022,-40.525753,-34.291022,-24.938925,-23.380242,-23.380242,-18.704194,-17.145511,-15.586828,-9.352097,-7.793414,-7.793414,-7.793414,-1.558683,14.028145,10.91078,1.558683,7.793414,9.352097,9.352097,9.352097,17.145511,15.586828,15.586828,18.704194,18.704194,21.821559,24.938925,28.056291,31.173656,26.497608,26.497608
0.28,-77.934141,-77.934141,-67.023361,-59.229947,-60.78863,-59.229947,-46.760485,-48.319167,-48.319167,-40.525753,-40.525753,-32.732339,-29.614974,-29.614974,-24.938925,-24.938925,-23.380242,-21.821559,-21.821559,-12.469463,-12.469463,-12.469463,-17.145511,-12.469463,-6.234731,-1.558683,6.234731,9.352097,7.793414,-1.558683,10.91078,12.469463,17.145511,15.586828,15.586828,9.352097,15.586828,20.262877,21.821559,23.380242
0.308,-77.934141,-79.492824,-77.934141,-74.816775,-71.69941,-63.905996,-63.905996,-59.229947,-56.112581,-52.995216,-48.319167,-48.319167,-35.849705,-31.173656,-32.732339,-26.497608,-26.497608,-28.056291,-18.704194,-17.145511,-17.145511,-1.558683,0,-12.469463,-9.352097,-9.352097,-14.028145,-6.234731,4.676048,7.793414,9.352097,7.793414,6.234731,6.234731,9.352097,6.234731,7.793414,1.558683,15.586828,14.028145
0.336,-93.520969,-81.051507,-81.051507,-85.727555,-79.492824,-74.816775,-68.582044,-71.69941,-62.347313,-57.671264,-56.112581,-45.201802,-48.319167,-48.319167,-46.760485,-40.525753,-42.084436,-32.732339,-28.056291,-31.173656,-26.497608,-23.380242,-18.704194,-17.145511,-14.028145,-10.91078,-7.793414,-9.352097,-4.676048,-7.793414,-7.793414,-4.676048,-1.558683,10.91078,14.028145,10.91078,1.558683,6.234731,9.352097,10.91078
0.364,-98.197018,-91.962286,-91.962286,-87.286238,-85.727555,-84.168872,-67.023361,-65.464678,-63.905996,-74.816775,-68.582044,-60.78863,-51.436533,-48.319167,-43.643119,-42.084436,-42.084436,-45.201802,-43.643119,-40.525753,-31.173656,-28.056291,-28.056291,-28.056291,-21.821559,-20.262877,-12.469463,-20.262877,-14.028145,-14.028145,-12.469463,-10.91078,-7.793414,-3.117366,3.117366,20.262877,-1.558683,-7.793414,9.352097,9.352097
0.392,-93.520969,-101.314383,-91.962286,-87.286238,-88.844921,-82.610189,-74.816775,-68.582044,-63.905996,-59.229947,-67.023361,-67.023361,-56.112581,-51.436533,-45.201802,-45.201802,-48.319167,-40.525753,-37.408388,-40.525753,-40.525753,-32.732339,-31.173656,-26.497608,-26.497608,-28.056291,-32.732339,-26.497608,-20.262877,-17.145511,-17.145511,-15.586828,1.558683,-9.352097,-7.793414,-1.558683,14.028145,3.117366,-7.793414,-9.352097
0.42,-101.314383,-101.314383,-93.520969,-85.727555,-85.727555,-77.934141,-74.816775,-77.934141,-74.816775,-71.69941,-62.347313,-57.671264,-71.69941,-67.023361,-56.112581,-54.553899,-51.436533,-45.201802,-42.084436,-45.201802,-48.319167,-42.084436,-31.173656,-37.408388,-34.291022,-34.291022,-32.732339,-26.497608,-24.938925,-21.821559,-17.145511,-21.821559,-17.145511,-17.145511,-17.145511,-17.145511,-20.262877,-17.145511,-9.352097,-24.938925
0.448,-105.990432,-104.431749,-98.197018,-85.727555,-90.403603,-95.079652,-98.197018,-82.610189,-81.051507,-77.934141,-71.69941,-60.78863,-68.582044,-71.69941,-71.69941,-74.816775,-63.905996,-57.671264,-57.671264,-56.112581,-46.760485,-52.995216,-38.96707,-34.291022,-35.849705,-34.291022,-28.056291,-28.056291,-26.497608,-24.938925,-28.056291,-29.614974,-26.497608,-24.938925,-26.497608,-24.938925,-18.704194,-10.91078,-14.028145,-10.91078
0.476,-113.783846,-107.549114,-98.197018,-93.520969,-96.638335,-93.520969,-88.844921,-84.168872,-87.286238,-87.286238,-85.727555,-77.934141,-67.023361,-59.229947,-67.023361,-65.464678,-59.229947,-60.78863,-63.905996,-51.436533,-51.436533,-56.112581,-51.436533,-48.319167,-45.201802,-43.643119,-43.643119,-37.408388,-31.173656,-32.732339,-40.525753,-34.291022,-40.525753,-26.497608,-23.380242,-18.704194,-24.938925,-17.145511,-28.056291,-24.938925
